GEO.id,GEO.id2,GEO.display0label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",451,81,260,114,392,99,739,467,0,**,0,**,0,**
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",854,64,804,73,781,34,960,32,0,**,0,**,0,**
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",858,60,484,224,736,45,995,166,1203,87,1281,959,616,431
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",910,81,0,**,808,93,974,110,1108,71,0,**,781,419
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",1044,56,0,**,809,35,1101,25,1284,118,0,**,0,**
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",967,70,0,**,429,238,977,77,1030,179,0,**,0,**
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",1283,150,0,**,895,459,0,**,1437,206,0,**,0,**
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",879,50,0,**,722,85,845,52,1073,64,0,**,0,**
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",876,44,625,151,818,100,935,71,1011,173,741,230,0,**
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",798,49,0,**,742,23,919,72,977,461,0,**,0,**
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",716,69,0,**,669,60,761,39,918,280,0,**,0,**
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",795,115,0,**,420,376,759,96,953,72,1589,1066,0,**
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",999,157,0,**,878,247,1083,226,849,128,0,**,0,**
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",789,51,423,22,697,144,808,98,872,86,947,278,0,**
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",740,49,425,263,583,127,750,51,742,357,1043,488,0,**
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",866,64,0,**,854,17,920,121,842,356,0,**,0,**
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",868,34,0,**,822,203,840,45,897,65,0,**,0,**
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",780,59,0,**,659,123,952,66,872,49,0,**,0,**
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",900,67,0,**,820,133,952,92,932,341,798,575,0,**
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",824,45,0,**,499,66,833,67,859,61,0,**,0,**
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",754,139,546,159,656,34,798,210,0,**,0,**,0,**
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",973,405,0,**,0,**,0,**,1405,75,0,**,0,**
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",958,104,0,**,829,33,1052,103,1130,97,0,**,0,**
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",1173,64,0,**,1107,36,1159,65,1356,78,0,**,0,**
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",1098,80,0,**,933,44,1113,36,1313,166,0,**,0,**
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",880,54,765,108,753,65,1370,164,1178,279,0,**,0,**
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",1010,71,833,50,938,39,1209,141,1403,66,0,**,0,**
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",1092,176,0,**,0,**,1021,338,0,**,0,**,0,**
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",1325,124,0,**,1369,514,1369,167,1063,384,0,**,0,**
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",1727,626,0,**,0,**,0,**,1700,848,0,**,0,**
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",1662,225,0,**,905,145,1662,108,0,**,0,**,0,**
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",954,49,0,**,808,613,986,76,1191,126,0,**,0,**
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",1923,618,0,**,0,**,0,**,1446,380,0,**,0,**
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",882,85,0,**,0,**,775,166,973,72,0,**,0,**
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",1217,163,0,**,1033,121,1220,294,1466,1078,0,**,0,**
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",1018,51,0,**,973,20,1124,42,1184,350,0,**,0,**
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",835,92,0,**,757,144,821,93,1151,147,0,**,0,**
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",1071,121,0,**,971,74,1291,199,1313,387,0,**,0,**
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",1091,109,0,**,876,69,1199,107,0,**,1330,351,0,**
1400000US36001014202,36001014202,"Census Tract 142.02, Albany County, New York",1043,164,0,**,967,259,1017,141,1657,213,0,**,0,**
1400000US36001014203,36001014203,"Census Tract 142.03, Albany County, New York",1227,94,0,**,1154,112,1262,109,0,**,0,**,0,**
1400000US36001014301,36001014301,"Census Tract 143.01, Albany County, New York",861,67,0,**,831,78,699,225,1548,700,0,**,0,**
1400000US36001014401,36001014401,"Census Tract 144.01, Albany County, New York",695,34,0,**,675,27,720,92,0,**,0,**,0,**
1400000US36001014402,36001014402,"Census Tract 144.02, Albany County, New York",860,51,0,**,808,94,870,52,1163,181,0,**,0,**
1400000US36001014501,36001014501,"Census Tract 145.01, Albany County, New York",934,66,0,**,796,101,952,29,0,**,0,**,0,**
1400000US36001014502,36001014502,"Census Tract 145.02, Albany County, New York",974,87,0,**,0,**,1004,173,937,267,0,**,0,**
1400000US36001014503,36001014503,"Census Tract 145.03, Albany County, New York",948,33,0,**,875,142,935,27,1347,321,0,**,0,**
1400000US36001014606,36001014606,"Census Tract 146.06, Albany County, New York",955,62,0,**,0,**,985,193,1313,640,0,**,0,**
1400000US36001014607,36001014607,"Census Tract 146.07, Albany County, New York",1045,217,0,**,624,17,1125,277,1079,419,0,**,0,**
1400000US36001014608,36001014608,"Census Tract 146.08, Albany County, New York",1031,197,0,**,929,50,1164,246,0,**,0,**,0,**
1400000US36001014609,36001014609,"Census Tract 146.09, Albany County, New York",1114,42,0,**,1095,49,1096,63,1455,1108,0,**,0,**
1400000US36001014611,36001014611,"Census Tract 146.11, Albany County, New York",1145,86,0,**,1011,260,1171,96,1375,110,0,**,0,**
1400000US36001014613,36001014613,"Census Tract 146.13, Albany County, New York",917,105,0,**,825,159,936,104,0,**,0,**,0,**
1400000US36001014614,36001014614,"Census Tract 146.14, Albany County, New York",1166,59,0,**,1068,94,1187,65,1536,367,0,**,0,**
1400000US36001014615,36001014615,"Census Tract 146.15, Albany County, New York",1137,21,1056,131,1121,38,1154,30,0,**,0,**,0,**
1400000US36001014801,36001014801,"Census Tract 148.01, Albany County, New York",745,411,0,**,0,**,832,119,1139,483,0,**,0,**
1400000US36001014802,36001014802,"Census Tract 148.02, Albany County, New York",893,50,0,**,0,**,884,155,0,**,0,**,0,**
1400000US36003940200,36003940200,"Census Tract 9402, Allegany County, New York",0,**,0,**,0,**,0,**,0,**,0,**,0,**
1400000US36003950100,36003950100,"Census Tract 9501, Allegany County, New York",733,93,0,**,425,244,525,332,731,85,0,**,0,**
1400000US36003950300,36003950300,"Census Tract 9503, Allegany County, New York",594,58,0,**,443,108,602,52,708,46,850,324,0,**
1400000US36003950400,36003950400,"Census Tract 9504, Allegany County, New York",646,197,0,**,479,137,580,100,841,65,975,353,0,**
1400000US36003950500,36003950500,"Census Tract 9505, Allegany County, New York",641,54,0,**,313,103,620,26,697,63,878,486,0,**
1400000US36003950600,36003950600,"Census Tract 9506, Allegany County, New York",583,37,0,**,462,67,577,46,598,99,869,184,1148,81
1400000US36003950700,36003950700,"Census Tract 9507, Allegany County, New York",586,45,427,6,444,31,660,72,596,45,752,450,0,**
1400000US36003950900,36003950900,"Census Tract 9509, Allegany County, New York",600,110,0,**,539,213,518,33,697,105,0,**,0,**
1400000US36003951000,36003951000,"Census Tract 9510, Allegany County, New York",623,43,0,**,0,**,600,38,800,328,0,**,0,**
1400000US36003951100,36003951100,"Census Tract 9511, Allegany County, New York",557,45,0,**,540,38,568,73,692,63,0,**,0,**
1400000US36003951200,36003951200,"Census Tract 9512, Allegany County, New York",579,43,0,**,502,117,542,56,630,27,782,20,0,**
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,**,0,**,0,**,0,**,0,**,0,**,0,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1358,142,804,177,994,128,1493,173,1497,258,0,**,0,**
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1448,205,0,**,1250,580,1375,180,1725,150,0,**,0,**
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",950,52,611,130,503,257,985,50,1402,325,0,**,0,**
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",1140,58,869,217,1143,179,1178,59,1095,279,0,**,0,**
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",405,49,265,29,320,72,445,67,528,73,729,122,0,**
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,**,0,**,0,**,0,**,0,**,0,**,0,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",549,159,435,123,410,325,731,201,489,113,1112,278,0,**
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",995,88,620,447,591,203,1136,99,966,121,1717,755,0,**
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",927,71,1196,161,869,23,951,158,1117,97,0,**,0,**
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",613,185,536,226,448,221,489,194,1201,189,1269,487,0,**
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",873,153,0,**,0,**,693,314,925,453,0,**,0,**
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",954,81,766,363,657,381,896,172,1338,247,1668,383,0,**
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",959,251,0,**,791,281,895,513,1539,1054,0,**,0,**
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",795,123,982,418,719,137,838,136,853,321,260,173,0,**
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",526,79,0,**,235,17,606,89,562,227,0,**,0,**
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",762,60,1102,70,779,237,715,107,799,88,0,**,0,**
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1054,47,0,**,1077,52,983,99,1342,239,0,**,0,**
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1245,92,0,**,1179,73,1314,150,1736,293,0,**,0,**
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",813,174,824,348,931,76,694,411,521,92,0,**,0,**
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",1179,65,0,**,1066,69,1130,107,1503,152,0,**,0,**
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",1217,126,1226,273,974,134,1238,143,1375,121,0,**,0,**
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",1102,72,0,**,1139,108,999,85,1227,152,0,**,0,**
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",954,39,0,**,829,169,996,71,1348,106,0,**,0,**
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",613,249,821,791,943,573,715,192,452,150,470,14,0,**
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1153,53,1037,132,1122,50,1266,155,1735,398,0,**,0,**
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1181,128,0,**,961,78,1229,142,1357,305,0,**,0,**
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",983,86,900,304,848,135,1052,149,1117,199,1028,564,0,**
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",1247,156,713,475,1080,150,1205,223,1673,119,0,**,0,**
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1284,100,531,221,1115,123,1391,110,1553,315,0,**,0,**
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",973,253,1203,240,740,728,1150,56,308,209,671,29,0,**
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1131,57,1075,216,1013,60,1330,105,1692,69,0,**,0,**
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",962,182,863,442,1041,66,840,138,1216,652,0,**,0,**
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1182,60,1016,787,990,131,1214,107,1333,255,0,**,0,**
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",757,55,1092,219,845,294,637,110,789,488,0,**,0,**
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1211,118,946,442,1010,133,1237,130,1758,125,2189,198,0,**
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",1275,102,0,**,1113,40,1308,149,1727,155,0,**,0,**
1400000US36005008300,36005008300,"Census Tract 83, Bronx County, New York",904,107,759,372,576,211,973,163,973,292,2146,932,0,**
1400000US36005008400,36005008400,"Census Tract 84, Bronx County, New York",1503,173,0,**,1188,399,1363,893,1684,212,0,**,0,**
1400000US36005008500,36005008500,"Census Tract 85, Bronx County, New York",914,104,931,93,844,494,866,234,982,227,0,**,0,**
1400000US36005008600,36005008600,"Census Tract 86, Bronx County, New York",402,50,0,**,353,98,359,79,619,315,1112,93,0,**
1400000US36005008700,36005008700,"Census Tract 87, Bronx County, New York",962,83,637,308,558,452,1072,76,958,128,1245,218,0,**
1400000US36005008900,36005008900,"Census Tract 89, Bronx County, New York",723,195,508,449,368,214,1107,86,921,149,1060,497,0,**
1400000US36005009000,36005009000,"Census Tract 90, Bronx County, New York",435,73,0,**,365,184,455,66,422,139,0,**,0,**
1400000US36005009200,36005009200,"Census Tract 92, Bronx County, New York",1304,50,933,681,1209,59,1386,67,1688,209,0,**,0,**
1400000US36005009300,36005009300,"Census Tract 93, Bronx County, New York",1104,74,0,**,974,49,1104,102,1414,253,1577,1307,0,**
1400000US36005009600,36005009600,"Census Tract 96, Bronx County, New York",1385,254,1192,282,1050,533,1556,168,1741,148,0,**,0,**
1400000US36005009800,36005009800,"Census Tract 98, Bronx County, New York",1415,76,1267,329,1319,167,1427,123,1658,119,0,**,0,**
1400000US36005011000,36005011000,"Census Tract 110, Bronx County, New York",1411,580,0,**,0,**,0,**,0,**,0,**,0,**
1400000US36005011502,36005011502,"Census Tract 115.02, Bronx County, New York",889,66,347,251,788,199,998,107,1375,282,0,**,0,**
1400000US36005011700,36005011700,"Census Tract 117, Bronx County, New York",1019,68,0,**,961,34,1093,102,1352,367,0,**,0,**
1400000US36005011800,36005011800,"Census Tract 118, Bronx County, New York",1527,194,0,**,1369,238,1443,412,1775,175,0,**,0,**
1400000US36005011900,36005011900,"Census Tract 119, Bronx County, New York",937,102,425,385,653,501,1064,74,1040,273,0,**,0,**
1400000US36005012101,36005012101,"Census Tract 121.01, Bronx County, New York",1055,64,1083,102,917,90,1044,84,1213,266,0,**,0,**
1400000US36005012102,36005012102,"Census Tract 121.02, Bronx County, New York",541,52,0,**,468,200,457,163,585,263,0,**,0,**
1400000US36005012300,36005012300,"Census Tract 123, Bronx County, New York",630,147,441,314,706,345,524,120,1267,747,0,**,0,**
1400000US36005012500,36005012500,"Census Tract 125, Bronx County, New York",1127,78,1025,132,1095,109,1189,205,1574,544,0,**,0,**
1400000US36005012701,36005012701,"Census Tract 127.01, Bronx County, New York",726,57,346,89,447,85,846,51,981,355,0,**,0,**
1400000US36005012901,36005012901,"Census Tract 129.01, Bronx County, New York",966,103,704,363,751,608,1232,152,1221,365,0,**,0,**
1400000US36005013000,36005013000,"Census Tract 130, Bronx County, New York",1384,90,0,**,1332,77,1431,200,2054,407,0,**,0,**
1400000US36005013200,36005013200,"Census Tract 132, Bronx County, New York",1371,202,0,**,1185,112,1581,313,1586,236,0,**,0,**
1400000US36005013300,36005013300,"Census Tract 133, Bronx County, New York",706,168,494,132,334,287,791,112,675,498,1237,885,0,**
1400000US36005013500,36005013500,"Census Tract 135, Bronx County, New York",531,84,1031,389,515,194,503,86,780,374,0,**,0,**
1400000US36005013800,36005013800,"Census Tract 138, Bronx County, New York",1262,201,0,**,1131,173,1408,1070,1429,257,0,**,0,**
1400000US36005014100,36005014100,"Census Tract 141, Bronx County, New York",1010,68,864,163,899,86,1051,96,1475,382,0,**,0,**
1400000US36005014701,36005014701,"Census Tract 147.01, Bronx County, New York",381,63,231,18,321,80,428,61,416,192,334,331,0,**
1400000US36005014702,36005014702,"Census Tract 147.02, Bronx County, New York",477,125,467,194,325,60,590,103,533,103,493,346,0,**
1400000US36005014900,36005014900,"Census Tract 149, Bronx County, New York",958,44,632,424,921,108,963,75,1590,211,1429,335,0,**
1400000US36005015100,36005015100,"Census Tract 151, Bronx County, New York",1000,78,818,278,922,102,1041,89,1134,163,1639,206,0,**
1400000US36005015500,36005015500,"Census Tract 155, Bronx County, New York",760,149,0,**,492,235,904,195,1064,608,0,**,0,**
1400000US36005015700,36005015700,"Census Tract 157, Bronx County, New York",982,99,611,83,903,72,1046,212,1444,244,0,**,0,**
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",1590,173,0,**,1472,215,0,**,1579,239,1844,306,0,**
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",419,174,0,**,333,171,358,101,725,281,0,**,0,**
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",1636,164,0,**,1205,120,1717,193,1839,217,0,**,0,**
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",470,77,493,226,299,106,645,179,0,**,0,**,0,**
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",1213,229,0,**,1157,364,1276,729,1519,716,0,**,0,**
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",0,**,0,**,0,**,0,**,0,**,0,**,0,**
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",1383,319,0,**,1147,55,1500,285,1700,83,0,**,0,**
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",1014,111,1069,309,931,56,1250,319,1081,153,0,**,0,**
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",1490,240,0,**,1354,357,1467,213,1795,932,0,**,0,**
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",1000,56,914,215,919,160,1060,58,1175,173,0,**,0,**
1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",897,100,753,315,905,162,974,81,1389,909,0,**,0,**
1400000US36005017100,36005017100,"Census Tract 171, Bronx County, New York",0,**,0,**,0,**,0,**,0,**,0,**,0,**
1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",1128,55,1104,59,1153,124,1017,376,1356,392,0,**,0,**
1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",1115,64,1117,253,960,248,1120,59,1443,171,1369,265,0,**
1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",1123,33,1124,45,1122,47,1182,144,885,439,0,**,0,**
1400000US36005018101,36005018101,"Census Tract 181.01, Bronx County, New York",1079,98,993,133,1134,78,969,310,1582,560,0,**,0,**
1400000US36005018102,36005018102,"Census Tract 181.02, Bronx County, New York",1077,49,1063,134,1028,67,1125,95,1197,235,0,**,0,**
1400000US36005018302,36005018302,"Census Tract 183.02, Bronx County, New York",1118,45,1042,119,1127,33,1084,108,1500,314,0,**,0,**
1400000US36005018500,36005018500,"Census Tract 185, Bronx County, New York",942,62,825,409,870,84,1032,113,1576,224,0,**,0,**
1400000US36005018900,36005018900,"Census Tract 189, Bronx County, New York",1054,62,563,306,998,95,1134,67,1325,938,1719,85,0,**
1400000US36005019300,36005019300,"Census Tract 193, Bronx County, New York",826,65,803,621,934,74,650,140,768,424,0,**,0,**
1400000US36005019400,36005019400,"Census Tract 194, Bronx County, New York",1386,104,0,**,1231,119,1383,98,1758,180,0,**,0,**
1400000US36005019500,36005019500,"Census Tract 195, Bronx County, New York",1062,58,987,119,1013,64,1092,106,1203,559,1493,516,0,**
1400000US36005019700,36005019700,"Census Tract 197, Bronx County, New York",1090,42,798,730,1079,53,1145,92,1042,536,0,**,0,**
1400000US36005019900,36005019900,"Census Tract 199, Bronx County, New York",1100,59,858,152,1081,58,1244,110,777,429,0,**,0,**
1400000US36005020000,36005020000,"Census Tract 200, Bronx County, New York",1165,54,1101,124,1075,42,1314,69,1488,173,0,**,0,**
1400000US36005020100,36005020100,"Census Tract 201, Bronx County, New York",1061,56,0,**,966,62,1199,96,1354,1015,0,**,0,**
1400000US36005020200,36005020200,"Census Tract 202, Bronx County, New York",1126,52,942,697,986,50,1424,136,1642,246,0,**,0,**
1400000US36005020400,36005020400,"Census Tract 204, Bronx County, New York",1210,60,0,**,1122,40,1231,131,1816,125,0,**,0,**
1400000US36005020501,36005020501,"Census Tract 205.01, Bronx County, New York",812,222,849,488,982,95,621,111,1098,362,0,**,0,**
1400000US36005020502,36005020502,"Census Tract 205.02, Bronx County, New York",902,195,696,390,524,471,1270,556,1604,717,0,**,0,**
1400000US36005020601,36005020601,"Census Tract 206.01, Bronx County, New York",1239,319,630,487,1005,100,1714,58,1764,223,1495,271,0,**
1400000US36005021001,36005021001,"Census Tract 210.01, Bronx County, New York",1144,27,1130,334,1100,23,1295,73,1214,746,0,**,0,**
1400000US36005021002,36005021002,"Census Tract 210.02, Bronx County, New York",1142,31,1193,226,1101,31,1271,164,1370,185,0,**,0,**
1400000US36005021100,36005021100,"Census Tract 211, Bronx County, New York",999,71,719,533,913,108,1062,100,1322,211,0,**,0,**
1400000US36005021302,36005021302,"Census Tract 213.02, Bronx County, New York",996,54,0,**,993,77,988,99,1378,252,0,**,0,**
1400000US36005021501,36005021501,"Census Tract 215.01, Bronx County, New York",1038,67,331,133,1001,143,1042,82,1174,347,1399,67,0,**
1400000US36005021601,36005021601,"Census Tract 216.01, Bronx County, New York",1181,51,788,445,1154,45,1310,94,1556,562,0,**,0,**
1400000US36005021602,36005021602,"Census Tract 216.02, Bronx County, New York",1194,57,1343,275,1112,39,1368,133,1487,285,0,**,0,**
1400000US36005021700,36005021700,"Census Tract 217, Bronx County, New York",998,69,748,211,1067,93,1095,127,874,193,681,412,0,**
1400000US36005021800,36005021800,"Census Tract 218, Bronx County, New York",1159,64,0,**,1087,68,1243,99,1351,340,0,**,0,**
1400000US36005021900,36005021900,"Census Tract 219, Bronx County, New York",1128,45,1105,48,1100,44,1069,173,1583,828,0,**,0,**
1400000US36005022000,36005022000,"Census Tract 220, Bronx County, New York",1222,155,435,315,1088,135,1464,364,1663,183,0,**,0,**
1400000US36005022101,36005022101,"Census Tract 221.01, Bronx County, New York",1080,40,0,**,1066,41,1081,107,1192,226,0,**,0,**
1400000US36005022102,36005022102,"Census Tract 221.02, Bronx County, New York",1109,51,1073,184,1096,80,1077,121,1345,338,0,**,0,**
1400000US36005022200,36005022200,"Census Tract 222, Bronx County, New York",1254,68,1098,57,1222,82,1407,94,1782,168,0,**,0,**
1400000US36005022300,36005022300,"Census Tract 223, Bronx County, New York",1059,69,1072,426,1031,81,941,357,1367,316,0,**,0,**
1400000US36005022401,36005022401,"Census Tract 224.01, Bronx County, New York",1240,60,1608,261,1176,46,1418,144,1650,755,0,**,0,**
1400000US36005022403,36005022403,"Census Tract 224.03, Bronx County, New York",1269,87,0,**,1128,80,1557,169,1510,379,0,**,0,**
1400000US36005022404,36005022404,"Census Tract 224.04, Bronx County, New York",1190,93,740,265,1170,96,1247,173,1466,254,0,**,0,**
1400000US36005022500,36005022500,"Census Tract 225, Bronx County, New York",1105,69,903,374,1078,65,1172,145,1125,637,0,**,0,**
1400000US36005022701,36005022701,"Census Tract 227.01, Bronx County, New York",1097,48,1027,789,1073,64,1160,125,1059,142,1590,482,0,**
1400000US36005022703,36005022703,"Census Tract 227.03, Bronx County, New York",1228,84,1597,635,1135,87,1313,142,1327,315,0,**,0,**
1400000US36005022800,36005022800,"Census Tract 228, Bronx County, New York",1342,84,1170,394,1238,107,1477,148,2147,205,0,**,0,**
1400000US36005022901,36005022901,"Census Tract 229.01, Bronx County, New York",1048,80,788,389,960,58,1139,120,1551,489,1664,705,0,**
1400000US36005022902,36005022902,"Census Tract 229.02, Bronx County, New York",1091,93,672,521,1116,116,1009,127,1474,382,0,**,0,**
1400000US36005023000,36005023000,"Census Tract 230, Bronx County, New York",1270,77,1089,93,1138,91,1407,109,1429,174,0,**,0,**
1400000US36005023100,36005023100,"Census Tract 231, Bronx County, New York",1117,74,931,632,1057,181,1154,60,1523,1383,0,**,0,**
1400000US36005023200,36005023200,"Census Tract 232, Bronx County, New York",1259,75,888,352,1076,73,1416,54,1459,165,0,**,0,**
1400000US36005023301,36005023301,"Census Tract 233.01, Bronx County, New York",1071,71,842,140,1104,95,1153,147,1048,849,0,**,0,**
1400000US36005023302,36005023302,"Census Tract 233.02, Bronx County, New York",1245,89,923,148,1144,134,1330,71,1447,178,820,468,0,**
1400000US36005023501,36005023501,"Census Tract 235.01, Bronx County, New York",1122,32,1017,322,1125,27,1128,115,1151,164,0,**,0,**
1400000US36005023502,36005023502,"Census Tract 235.02, Bronx County, New York",1081,70,715,159,1042,94,1386,154,1341,126,0,**,0,**
